0d1n 1:226.61acb06-1
0trace 1.5-4
3proxy 0.8.13-1
3proxy-win32 0.8.13-1
42zip 1:42-3
a2sv 140.cb24c4e-1
abcd 4.2738809-2
absl-py 0.11.0-1
abuse-ssl-bypass-waf 6.36a80af-1
acccheck 0.2.1-4
ace 1.10-4
ack 3.4.0-1
acl 2.2.53-3
aclpwn 4.81480cc-1
acpi 1.7-3
activedirectoryenum 1:0.5.0-1
adape-script 43.4d0b9ff-1
adfind 29.179602f-1
ad-ldap-enum 44.1386673-1
admid-pack 1:0.1-2
adminpagefinder 0.1-4
admsnmp 0.1-4
adns 1.6.0-1
adobe-source-code-pro-fonts 2.032ro+1.052it+1.012var-1
adwaita-icon-theme 3.38.0-1
aesfix 1.0.1-5
aeskeyfind 1.0-5
aespipe 2.4f-1
aesshell 0.7-4
afflib 3.7.19-1
afl 2.57b-3
afpfs-ng 0.8.2-1
agafi 1:1.1-3
against 1:0.2-3
aggroargs 51.c032446-1
aiengine 1:2.0.0-1
aimage 3.2.5-2
aiodnsbrute 38.e773a4c-1
air 2.0.0-5
aircrack-ng 1.6-2
airflood 0.1-7
airgeddon 2321.f94763e-1
airopy 5.b83f11d-1
airoscript 2:45.0a122ee-7
airpwn 1.4-3
airspy 1.0.9-2
ajpfuzzer 0.6-3
albatar 32.c1613fe-1
allthevhosts 1.0-6
alsa-lib 1.2.4-3
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
altdns 68.689cc81-3
amap 1:5.4-5
amass 2:1099.22dd146-1
amber 245.c6cae74-2
amd-ucode 20201120.bc9cd0b-1
amoco 1:v2.4.1.r286.gd3c2fab-1
analyzemft 125.79a33ce-1
analyzepesig 0.0.0.5-5
androbugs 1.7fd3a2c-2
androguard 2:2118.8d091cbb-1
androick 8.522cfb4-1
android-apktool 2.4.1-1
androidpincrack 2.ddaf307-2
android-sdk 26.1.1-1
android-sdk-build-tools r30.0.2-1
android-sdk-platform-tools r30.0.4-1
androidsniffer 0.1-4
android-udev-rules 1:418.b303283-1
androwarn 135.626c02d-2
angr 1:8.20.7.27-1
angr-management 8.20.7.6-1
angrop 183.b9f33d6-1
angr-py2 1:7.8.9.26-3
anontwi 1.1b-1
antiransom 3.02-3
antiword 0.37-8
anti-xss 166.2725dc9-2
aom 2.0.0-1
apache 2.4.46-3
apache-tika 1.24.1-1
apache-users 2.1-3
apacket 374.16e7036-1
aphopper 0.3-4
apkid 2:2.1.0-1
apkstat 18.81cdad3-2
apkstudio 100.9e114ca-4
apnbf 0.1-2
apparmor 3.0.0-2
appmon 164.974418b-2
apr 1.7.0-3
apr-util 1.6.1-8
apt2 175.6732505-4
aquatone 120.854a5d5-2
arachni 1.5.1.2.gd869f0aa3-2
aranea 6.469b9ee-2
arch-install-scripts 23-2
archivebox 903.59da482-1
archlinux-keyring 20201028-1
arduino 1:1.8.13-2
arduino-builder 1.5.4-1
arduino-ctags 5.8_arduino11-4
argon2 20190702-3
argus 3.0.8.2-4
argus-clients 3.0.8.2-2
arjun 83.a6b3349-1
armitage 4:150813-5
armor 5.bae27a6-1
armscgen 98.c51b7d6-3
arpalert 1:2.0.12-1
arpoison 0.7-1
arpon 2.7-2
arp-scan 1.9.7-1
arpstraw 27.ab40e13-4
arptools 13.41cdb23-1
arpwner 26.f300fdf-3
artillery 1:357.805a5d8-1
artlas 140.728aea5-2
arybo 65.89d9a42-1
asleap 2.2-5
asp-audit 2BETA-3
aspell 0.60.8-2
aspell-en 2019.10.06-1
assetfinder 19.4e95d87-1
astra 486.394d538-1
atear 139.245ec8d-3
atftp 0.7.2-2
athena-ssl-scanner 0.6.2-5
atk 2.36.0-1
atlas 7.77bd6c8-1
atscan 2427.9a3cebc-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atstaketools 0.1-5
attacksurfacemapper 40.97a2827-1
attk 2.0.1023-1
attr 2.4.48-3
audit 2.8.5-6
aurebeshjs 64.74b3557-1
autoconf 2.69-7
auto-eap 18.ee36d37-1
autogen 5.18.16-1
automake 1.16.2-3
automato 33.0561b59-4
autonessus 24.7933022-2
autonse 23.ab4a21e-1
autopep8 1:1.5.4-1
autopsy 1:4.17.0-1
autopwn 190.fc80cef-3
