0ad 0.0.26_alpha
0verkill 0.16
2bwm 0.3
2ping 4.5.1
389-ds-base 2.3.2
3dfm 1.0
3proxy 0.9.4
4ti2 1.6.7
6tunnel 0.13
86Box 3.11
9libs 1.0
a 1.0.0
a-story-about-my-uncle 5188
a2jmidid 9
a2ps 4.15.4
a2wsgi 1.7.0
a52dec 0.7.4
aaindex 9.1
aalib 1.4_rc5
aaphoto 0.45_p20160710
aatm 0.6
abc 0_p20230313
abcde 2.9.3
abcl 1.9.1
abcm2ps 8.14.14
abcmidi 2023.03.24
abduco 0.6
abe 1.1
abi-compliance-checker 2.3
abi-dumper 1.2
abiword 3.0.5
abiword-docs 3.0.2
abntex 0.9_beta2
abook 0.6.1
aboot 2.0_pre20210801
abootimg 20150323
abs 2.6.0
abs-guide 10
abseil-cpp 20230125.2
absl-py 1.4.0
abstract 1.0.0
abstract-deque 0.3
abstract-par 0.3.3
abuse 0.9.1
abydos 0.5.0
abyss 2.3.4
acc 1.58
accel-ppp 1.12.0_p20220830
accerciser 3.40.0
accessible-pygments 0.0.4
accessx 0951
accounts-qml 0.7
accounts-qt 1.16
accountsservice 23.13.9
acct 6.6.4
acdctl 1.1
ace 1.4
Ace 1.920.0
ace-window 0.10.0
acidrip 0.14
ack 3.6.0
ackvim 1.0.9
acl 0
acl 2.3.1
acl2 8.5
aclock 0.4.0
acme 2.5.0
acme-client 2.0.9
Acme-Damn 0.80.0
acme-sh 3.0.5
acme-tiny 5.0.1
acpi 1.7
acpi_call 1.2.2
acpid 2.0.34
acpilight 1.2
acpitool 0.5.1
acr38u 1.7.11
act 1.6.0
actioncable 7.0.4.3
actionmailbox 7.0.4.3
actionmailer 7.0.4.3
actionpack 7.0.4.3
actionpack-action_caching 1.2.2
actionpack-xml_parser 2.0.1
actionscript-mode 7.2.2_p20180527
actiontext 7.0.4.3
actionview 7.0.4.3
activejob 7.0.4.3
activeldap 6.1.0
activemodel 7.0.4.3
activemodel-serializers-xml 1.0.2
activerecord 7.0.4.3
activestorage 7.0.4.3
activesupport 7.0.4.3
actkbd 0.2.8
acts_as_list 1.1.0
ada 1.16
ada_language_server 23.0.10
ada_libfswatch 20201105
adapta-gtk-theme 3.95.0.11
adaptive-wrap 0.8
adblock 0.6.0
adcli 0.9.2
addressable 2.8.4
addresses 0.4.8
adebar 2.4.1
adifmerg 31
adjtimex 1.29
adjunctions 4.4
adodb 5.22.2
adolc 2.7.2
adom 3.3.3
adsf 1.4.6
advancecomp 2.5
advancemame 3.9
advancescan 1.16
adwaita-icon-theme 44.0
adwaita-qt 1.4.2
adzapper 20110915
ae 1.8.2
aee 2.2.21
aegisub 3.2.2_p20160518
aeolus 0.10.4
aerc 0.14.0
aerospike-amc-community 5.0.0
aesara 2.8.12
aescrypt 3.14
aeson 2.0.3.0
aeson-pretty 0.8.9
aespipe 2.4f
aewan 1.0.01
aewm 1.3.12
aewm++ 1.1.5
afew 3.0.1
affiche 0.6.0
afflib 3.7.20
afio 2.5.1
afl 2.57b
aflplusplus 4.06c
afm 0.2.2
aften 0.0.8
afternoonstalker 1.1.6
agate 1.7.1
agate-dbf 0.2.2
