a52dec 0.7.4-12
aalib 1.4rc5-15
abseil-cpp 20230125.1-2
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.1-3
acpi 1.7-3
acpid 2.0.34-1
adobe-source-code-pro-fonts 2.040u+1.060i+1.024vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.052-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
adw-gtk3 4.5-1
adw-gtk-theme 1.1-1
aha 0.5.1-2
alacarte 1:3.44.2-1
alsa-firmware 1.2.4-3
alsa-lib 1.2.8-1
alsa-oss 1.1.8-5
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
amd-ucode 20230310.588dd07-1
amtk 5.6.1-1
android-tools 33.0.3-3
android-udev 20230303-1
aom 3.6.0-1
apache 2.4.56-1
apparmor 3.1.3-1
appstream 0.16.1-2
appstream-glib 0.8.2-2
appstream-qt 0.16.1-2
apr 1.7.2-2
apr-util 1.6.3-1
archlinux-appstream-data 20230220-1
archlinux-keyring 20230320-1
argon2 20190702-4
ark 22.12.3-1
atkmm 2.28.3-1
at-spi2-core 2.48.0-1
attica 5.104.0-1
attr 2.5.1-3
audacious 4.2-3
audacious-plugins 4.2-4
audiocd-kio 22.12.3-1
audit 3.1-1
avahi 0.8+22+gfd482a7-3
ayatana-ido 0.9.3-1
b43-fwcutter 019-4
babl 0.1.102-1
baloo 5.104.0-1
baloo-widgets 22.12.3-1
baobab 44.0-1
base 3-2
bash 5.1.016-2
bash-completion 2.11-3
bashrc-manjaro 5.1.016-2
bc 1.07.1-4
bibata-cursor-theme 2.0.3-4
binutils 2.40-4
blas 3.11.0-2
bluedevil 1:5.27.4-1
blueman 2.3.5-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-qt 5.104.0-1
bmenu 0.20-1
bolt 0.9.5-1
botan 2.19.3-1
breeze 5.27.4-1
breeze-gtk 5.27.4-2.1
breeze-icons 5.104.0-1
brotli 1.0.9-10
btrfsmaintenance 1:0.5-1
btrfs-progs 6.2.2-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.89-1
ca-certificates-utils 20220905-1
caffeine-ng 4.2.0-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
catfish 4.16.4-1
cdparanoia 10.2-8
cdrtools 3.02a09-5
cfitsio 1:4.2.0-1
cheese 43.0-1
chromaprint 1.5.1-7
cifs-utils 7.0-3
ckbcomp 1.215-1
clang 15.0.7-2
clinfo 3.0.21.02.21-1
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmus 2.10.0-4
cogl 1.22.8-2
