a52dec 0.7.4-12
aalib 1.4rc5-15
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
aha 0.5.1-2
alsa-lib 1.2.8-1
alsa-oss 1.1.8-4
alsa-plugins 1:1.2.7.1-1
alsa-tools 1.2.5-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
amd-ucode 20221214.f3c283e-1
aom 3.5.0-1
appstream 0.15.6-1
appstream-qt 0.15.6-1
apr 1.7.0-3
apr-util 1.6.1-11
archinstall 2.5.2-1
arch-install-scripts 28-1
archiso 69-1
archlinux-appstream-data 20221210-1
archlinux-keyring 20221220-1
archlinux-tweak-tool-git 22.12-11
arcolinux-keyring 20251209-3
arcolinux-mirrorlist-git 22.12-01
argon2 20190702-4
arj 3.10.22-13
aspell 0.60.8-3
atkmm 2.28.3-1
at-spi2-core 2.46.0-2
attica 5.101.0-1
attr 2.5.1-2
audacity 1:3.2.3-1
audiofile 0.3.6-7
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-3
babl 0.1.98-1
baloo 5.101.0-1
bamf 0.5.6-1
baobab 43.0-1
base 3-1
bash 5.1.016-1
bash-completion 2.11-3
bashtop 0.9.25-1
bc 1.07.1-4
bind 9.18.10-1
binutils 2.39-4
bison 3.8.2-4
blas 3.11.0-1
bluedevil 1:5.26.4-1
blueman 2.3.5-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-qt 5.101.0-1
bluez-utils 5.66-1
bolt 0.9.4-1
boost 1.80.0-3
boost-libs 1.80.0-3
botan 2.19.3-1
box2d 2.4.1-1
breeze 5.26.4-1
breeze-gtk 5.26.4-1
breeze-icons 5.101.0-1
breezy 3.3.1-1
brltty 6.5-3
broadcom-wl 6.30.223.271-436
brotli 1.0.9-9
btrfs-progs 6.1-2
bubblewrap 0.7.0-1
bzip2 1.0.8-5
cabextract 1.9.1-2
ca-certificates 20220905-1
ca-certificates-mozilla 3.86-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
cairo-perl 1.109-2
caja 1.26.1-1
caja-extensions-common 1.26.1-2
caja-image-converter 1.26.1-2
caja-open-terminal 1.26.1-2
caja-sendto 1.26.1-2
caja-share 1.26.1-2
caja-wallpaper 1.26.1-2
caja-xattr-tags 1.26.1-2
calamares 3.2.61-5
calc 2.14.1.0-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
c-ares 1.18.1-1
cblas 3.11.0-1
cdparanoia 10.2-8
cdrdao 1.2.4-2
cdrtools 3.02a09-5
chaotic-keyring 20220803-1
chaotic-mirrorlist 20221008-2
chromaprint 1.5.1-6
cifs-utils 7.0-2
ckbcomp 1.210-1
clamav 0.105.1-2
clamtk 6.14-1
clementine 1.4.0rc2-2
clonezilla 3.35.2-5
cloud-init 22.4.2-2
clucene 2.3.3.4-12
cmake 3.25.1-1
cmark 0.30.2-1
code 1.74.2-1
confuse 3.3-3
conky 1.15.0-1
conky-fonts 0.0.2-1
convertlit 1.8-11
coreutils 9.1-3
cracklib 2.9.8-1
cronie 1.6.1-1
crypto++ 8.7.0-1
cryptsetup 2.6.0-1
cups 1:2.4.2-3
cups-filters 1.28.16-2
curl 7.87.0-1
cvs 1.11.23-14
cython 0.29.32-2
darkhttpd 1.14-1
dav1d 1.0.0-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.4-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-2
dconf-editor 43.0-1
ddrescue 1.26-1
debootstrap 1.0.128-1
default-cursors 2-1
desktop-file-utils 0.26-2
devede 4.17.0-1
